Date,Open,High,Low,Close,Adj Close,Volume
2024-01-19,3.4200000762939453,3.4200000762939453,3.25,3.309999942779541,3.309999942779541,177900
2024-01-22,3.319999933242798,3.5199999809265137,3.319999933242798,3.3389999866485596,3.3389999866485596,158500
2024-01-23,3.384000062942505,3.450000047683716,3.380000114440918,3.430000066757202,3.430000066757202,47600
2024-01-24,3.5,3.680000066757202,3.5,3.509999990463257,3.509999990463257,176000
2024-01-25,3.4709999561309814,3.5,3.4000000953674316,3.4000000953674316,3.4000000953674316,42700
2024-01-26,3.3919999599456787,3.4700000286102295,3.3919999599456787,3.4700000286102295,3.4700000286102295,58400
2024-01-29,3.3499999046325684,3.509999990463257,3.3499999046325684,3.496000051498413,3.496000051498413,71700
2024-01-30,3.509999990463257,3.609999895095825,3.490000009536743,3.6040000915527344,3.6040000915527344,138900
2024-01-31,3.5899999141693115,3.6600000858306885,3.549999952316284,3.5759999752044678,3.5759999752044678,548600
2024-02-01,3.6500000953674316,4.0,3.6500000953674316,3.9800000190734863,3.9800000190734863,192100
