Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,Date
TAWNF,Thai Airways International Public Company Limited,0.0101,0.0044,76.49,79805,25354,219002000,2023-12-12T10:28:23.177880
PCOGF,Pancontinental Energy NL,0.012,0.0025,26.32,1000,44067,96723000,2023-12-12T10:28:23.177880
IFUS,"Impact Fusion International, Inc.",0.0879,0.0187,27.08,6070000,996787,46531000,2023-12-12T10:28:23.177880
MMTIF,Micromem Technologies Inc.,0.0815,0.0149,22.37,783508,225767,41388000,2023-12-12T10:28:23.177880
LBSR,Liberty Star Uranium & Metals Corp.,0.2205,0.0635,40.45,542224,205324,10667000,2023-12-12T10:28:23.177880
FDCT,"FDCTech, Inc.",0.0275,0.007,34.15,550915,439072,9174000,2023-12-12T10:28:23.177880
LANRF,Lancaster Resources Inc.,0.0347,0.0091,35.81,2241,18811,1848000,2023-12-12T10:28:23.177880
LUXFF,Luxxfolio Holdings Inc.,0.0109,0.0029,36.25,800,25779,945225,2023-12-12T10:28:23.177880
CYAP,Cyber Apps World Inc.,0.22,0.0658,42.63,205,16098,280042,2023-12-12T10:28:23.177880
MHHC,MHHC Enterprises Inc.,0.0944,0.0159,20.25,57962,24693,86653000,2023-12-12T10:28:23.177880
ECDP,Echo Defense Projects Inc.,0.22,0.05,29.41,100359,31840,49027,2023-12-12T10:28:23.177880
BLTHD,"American Battery Materials, Inc.",0.36,0.32,800.0,1332,1141000,0,2023-12-12T10:28:23.177880
GRCL,Gracell Biotechnologies Inc.,5.41,0.54,11.09,931272,508200,518962000,2023-12-13T06:18:11.203518
KALV,"KalVista Pharmaceuticals, Inc.",9.76,0.97,11.04,540068,291403,337293000,2023-12-13T06:18:11.203518
NGLD,Nevada Canyon Gold Corp.,3.2,0.48,17.65,6540,10014,78784000,2023-12-13T06:18:11.203518
BTCM,BIT Mining Limited,4.3,0.5,13.16,206939,70301,47783000,2023-12-13T06:18:11.203518
NEPH,"Nephros, Inc.",2.57,0.38,17.35,93150,11404,26946000,2023-12-13T06:18:11.203518
NOKPF,Nok Airlines Public Company Limited,0.01,0.0075,300.0,100,14262,115462000,2023-12-13T06:18:13.306791
LBSR,Liberty Star Uranium & Metals Corp.,0.2881,0.0676,30.66,698164,212338,13937000,2023-12-13T06:18:13.306791
MLYCF,Multi-Metal Development Ltd.,0.039,0.0089,29.57,98199,13761,9800000,2023-12-13T06:18:13.306791
TRRXF,TNR Gold Corp.,0.0488,0.0088,22.0,34000,10061,9210000,2023-12-13T06:18:13.306791
RKFL,"RocketFuel Blockchain, Inc.",0.1719,0.0315,22.44,366,16982,6120000,2023-12-13T06:18:13.306791
NPRFF,Nepra Foods Inc.,0.09,0.0198,28.11,1900,61796,6096000,2023-12-13T06:18:13.306791
CNER,China New Energy Group Co.,0.0439,0.0087,24.86,4056,223458,4706000,2023-12-13T06:18:13.306791
LOWLF,Lowell Farms Inc.,0.2213,0.0443,25.03,11729,16619,4071000,2023-12-13T06:18:13.306791
NUMD,"Nu-Med Plus, Inc.",0.0439,0.0259,143.89,1928000,44441,3571000,2023-12-13T06:18:13.306791
CPWR,Ocean Thermal Energy Corporation,0.0131,0.0046,54.12,30700,21732,2415000,2023-12-13T06:18:13.306791
MSAH,"Man Shing Agricultural Holdings, Inc.",0.085,0.032,60.38,506515,17101,1182000,2023-12-13T06:18:13.306791
MONI,Moon Equity Holdings Corp.,0.02,0.0054,37.17,8611000,3751000,0,2023-12-13T06:18:13.306791
MOR,MorphoSys AG,8.83,1.78,25.25,4535000,724495,1207000000,2023-12-12T10:28:21.179059
OPFI,OppFi Inc.,4.29,0.4,10.28,995667,187122,471900000,2023-12-12T10:28:21.179059
CHSN,Chanson International Holding,8.26,1.07,14.88,356042,441962,102341000,2023-12-12T10:28:21.179059
CLIR,ClearSign Technologies Corporation,1.19,0.17,16.67,155897,83627,45893000,2023-12-12T10:28:21.179059
IPDN,"Professional Diversity Network, Inc.",2.5,0.36,16.82,210828,44925,27676000,2023-12-12T10:28:21.179059
