title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
AbbVie  ( ABBV )  Announces Appointment of New CEO Robert Michael,20240221T154300,https://www.zacks.com/stock/news/2229455/abbvie-abbv-announces-appointment-of-new-ceo-robert-michael,PBYI,0.406745,Somewhat-Bullish,0.231943
Pfizer's  ( PFE )  Ulcerative Colitis Pill Velsipity Gets EU Nod,20240220T120900,https://www.zacks.com/stock/news/2228287/pfizers-pfe-ulcerative-colitis-pill-velsipity-gets-eu-nod,PBYI,0.354741,Somewhat-Bullish,0.193507
Stocks That Hit 52-Week Lows On Wednesday,20220511T162815,https://www.benzinga.com/markets/options/22/05/27141482/52-weeks-high-and-low-article,PBYI,0.006905,Neutral,0.007044
Stocks That Hit 52-Week Lows On Friday,20220506T160650,https://www.benzinga.com/markets/options/22/05/27050916/52-weeks-high-and-low-article,PBYI,0.005467,Neutral,0.000255
Annexon  ( ANNX )  Stock Rallies 156% in 3 Months: Here's How,20240117T160600,https://www.zacks.com/stock/news/2211545/annexon-annx-stock-rallies-156-in-3-months-heres-how,PBYI,0.220809,Somewhat-Bullish,0.161808
"Why Richardson Electronics Shares Surged Over 8%; Here Are 55 Biggest Movers From Friday - Angel Oak Mortgage  ( NYSE:AOMR ) , Ampco-Pittsburgh  ( NYSE:AP ) ",20221128T100924,https://www.benzinga.com/news/22/11/29866518/why-richardson-electronics-shares-surged-over-8-here-are-55-biggest-movers-from-friday,PBYI,0.075161,Somewhat-Bearish,-0.304507
Assertio  ( ASRT )  Stock Plunges 65% in 3 Months: Here's Why,20240205T152400,https://www.zacks.com/stock/news/2221133/assertio-asrt-stock-plunges-65-in-3-months-heres-why,PBYI,0.386477,Somewhat-Bullish,0.223866
Assertio  ( ASRT )  Shares Fall as Dan Peisert Steps Down as CEO,20240104T144600,https://www.zacks.com/stock/news/2205675/assertio-asrt-shares-fall-as-dan-peisert-steps-down-as-ceo,PBYI,0.374875,Somewhat-Bullish,0.168052
Here's Why You Should Invest in Adverum  ( ADVM )  Stock Now,20240104T132700,https://www.zacks.com/stock/news/2205527/heres-why-you-should-invest-in-adverum-advm-stock-now,PBYI,0.209365,Neutral,0.058665
Here's Why You Should Bet on Rigel Pharmaceuticals  ( RIGL )  Now,20240103T155100,https://www.zacks.com/stock/news/2205099/heres-why-you-should-bet-on-rigel-pharmaceuticals-rigl-now,PBYI,0.211806,Neutral,-0.00328
Here's Why You Should Invest in Aquestive  ( AQST )  Stock Now,20240103T131000,https://www.zacks.com/stock/news/2204853/heres-why-you-should-invest-in-aquestive-aqst-stock-now,PBYI,0.164656,Neutral,-0.002724
Syros  ( SYRS )  Rises on Upbeat Initial Study Data on Tamibarotene,20231207T144400,https://www.zacks.com/stock/news/2194793/syros-syrs-rises-on-upbeat-initial-study-data-on-tamibarotene,PBYI,0.332658,Somewhat-Bullish,0.172086
Journey Medical  ( DERM )  Up on Update for Skin Disease Candidate,20231207T141600,https://www.zacks.com/stock/news/2194715/journey-medical-derm-up-on-update-for-skin-disease-candidate,PBYI,0.229872,Neutral,0.089237
