title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
"Rapid Advancements of Innovative Antiviral - COVID-19 Drugs Generating Major Growth in Global Antiviral Drugs Market - Nanoviricides  ( AMEX:NNVC ) , Chimerix  ( NASDAQ:CMRX ) ",20240806T124500,https://www.benzinga.com/pressreleases/24/08/g40188357/rapid-advancements-of-innovative-antiviral-covid-19-drugs-generating-major-growth-in-global-antivi,META,0.019829,Neutral,-0.067186
Demand for Comprehensive Cleaning Services Grow Post-Pandemic,20220826T130000,https://www.prnewswire.com/news-releases/demand-for-comprehensive-cleaning-services-grow-post-pandemic-301612967.html,META,0.019731,Neutral,0.0
Location-Based Service  ( LBS )  and Real-Time Location Systems  ( RTLS )  Market worth $60.4 billion by 2028 - Exclusive Report by MarketsandMarkets™,20240202T151500,https://www.prnewswire.com/news-releases/location-based-service-lbs-and-real-time-location-systems-rtls-market-worth-60-4-billion-by-2028---exclusive-report-by-marketsandmarkets-302051809.html,META,0.060161,Somewhat-Bullish,0.175065
"The Traditional Lending Segment to Witness a Remarkable Growth in The Peer-To-Peer Lending Market, Boasting A Substantial Market Share and Projected to Advance at CAGR of 29.3%",20231107T131500,https://www.benzinga.com/pressreleases/23/11/g35642617/the-traditional-lending-segment-to-witness-a-remarkable-growth-in-the-peer-to-peer-lending-market-,META,0.046543,Neutral,0.053102
UPS Contract Talks Go Down to the Wire as a Possible Strike Looms,20230722T070025,https://www.nytimes.com/2023/07/22/business/economy/ups-teamsters-strike.html,META,0.029008,Neutral,0.0
"Hello Group Soars as Investors Snap Up Stock on China Covid Easing - Alibaba Group Holding  ( NYSE:BABA ) , Bumble  ( NASDAQ:BMBL ) ",20221209T143841,https://www.benzinga.com/markets/penny-stocks/22/12/30022500/hello-group-soars-as-investors-snap-up-stock-on-china-covid-easing,META,0.036091,Neutral,0.065706
"This market is a 'bear trap' so here's what to buy, strategist says",20240129T113300,https://www.marketwatch.com/story/this-market-is-a-bear-trap-and-so-heres-what-to-buy-strategist-says-7914fe5c,META,0.065685,Neutral,0.0
"Pinduoduo Crushes Analyst Expectations, Week In Review",20230526T151356,https://www.forbes.com/sites/brendanahern/2023/05/26/pinduoduo-crushes-analyst-expectations-week-in-review/,META,0.071145,Neutral,-0.135648
The US Treasury Is Running Out Of Cash - Deere  ( NYSE:DE ) ,20230522T134440,https://www.benzinga.com/news/23/05/32508509/the-us-treasury-is-running-out-of-cash,META,0.033375,Somewhat-Bearish,-0.192281
"Why Meta Shares Are Trading Higher By Over 16%; Here Are 20 Stocks Moving Premarket - Apple  ( NASDAQ:AAPL ) , AgriFORCE Growing Systems  ( NASDAQ:AGRI ) ",20240202T132113,https://www.benzinga.com/news/24/02/36908482/why-meta-shares-are-trading-higher-by-over-16-here-are-20-stocks-moving-premarket,META,0.139669,Somewhat-Bullish,0.205387
"Why Taysha Gene Therapies Shares Are Trading Higher By Around 27%; Here Are 20 Stocks Moving Premarket - BYND Cannasoft Enterprise  ( NASDAQ:BCAN ) , Aquestive Therapeutics  ( NASDAQ:AQST ) ",20240320T122039,https://www.benzinga.com/news/24/03/37844820/why-taysha-gene-therapies-shares-are-trading-higher-by-around-27-here-are-20-stocks-moving-premarket,META,0.062434,Neutral,-0.033042
"Femasys Inc. Announces Financial Results for the Second Quarter Ended June 30, 2023 and Provides Corporate Update",20230810T120000,https://www.globenewswire.com/news-release/2023/08/10/2722590/0/en/Femasys-Inc-Announces-Financial-Results-for-the-Second-Quarter-Ended-June-30-2023-and-Provides-Corporate-Update.html,META,0.018257,Neutral,0.059622
Femasys Inc. Replaces Two Board Members with Seasoned Industry Leaders in the Life Sciences - Femasys  ( NASDAQ:FEMY ) ,20230615T120000,https://www.benzinga.com/pressreleases/23/06/g32871308/femasys-inc-replaces-two-board-members-with-seasoned-industry-leaders-in-the-life-sciences,META,0.03786,Neutral,0.029907
Mirati Therapeutics Reports Fourth Quarter and Full Year 2022 Financial Results and Recent Corporate Updates,20230228T210100,https://www.prnewswire.com/news-releases/mirati-therapeutics-reports-fourth-quarter-and-full-year-2022-financial-results-and-recent-corporate-updates-301758465.html,META,0.021484,Neutral,0.0
"Crude Oil Moves Higher; Bristol Myers Squibb Shares Fall After Q1 Results - ATN International  ( NASDAQ:ATNI ) , Bristol-Myers Squibb  ( NYSE:BMY ) ",20240425T183233,https://www.benzinga.com/news/earnings/24/04/38441305/crude-oil-moves-higher-bristol-myers-squibb-shares-fall-after-q1-results,META,0.060694,Neutral,0.101004
"S&P 500 Down Over 1%; Merck Increases 2024 Outlook - ATN International  ( NASDAQ:ATNI ) , Hertz Global Holdings  ( NASDAQ:HTZ ) ",20240425T160430,https://www.benzinga.com/news/earnings/24/04/38437240/s-p-500-down-over-1-merck-increases-2024-outlook,META,0.064104,Neutral,0.101082
"Dow Dips Over 500 Points; US GDP Growth Misses Expectations - Barfresh Food Group  ( NASDAQ:BRFH ) , Chicken Soup for the Soul  ( NASDAQ:CSSE ) ",20240425T134704,https://www.benzinga.com/news/earnings/24/04/38432253/dow-dips-over-500-points-us-gdp-growth-misses-expectations,META,0.073546,Neutral,0.101804
The RealReal and Conservation International Unite for a Star-Studded Closet Sale - RealReal  ( NASDAQ:REAL ) ,20241023T160000,https://www.benzinga.com/pressreleases/24/10/g41494302/the-realreal-and-conservation-international-unite-for-a-star-studded-closet-sale,META,0.040691,Somewhat-Bullish,0.162417
The RealReal and Conservation International Unite for a Star-Studded Closet Sale,20241023T160000,https://www.globenewswire.com/news-release/2024/10/23/2968040/0/en/The-RealReal-and-Conservation-International-Unite-for-a-Star-Studded-Closet-Sale.html,META,0.043738,Somewhat-Bullish,0.168538
Inspirato Announces CFO Transition and Appoints Three New Members to Board of Directors,20241007T130000,https://www.globenewswire.com/news-release/2024/10/07/2958982/0/en/Inspirato-Announces-CFO-Transition-and-Appoints-Three-New-Members-to-Board-of-Directors.html,META,0.067536,Somewhat-Bullish,0.217446
Junior Achievement of Southern California Empowers the Next Generation Through New Financial Literacy-Focused Marketing Campaign,20240408T184024,https://www.benzinga.com/pressreleases/24/04/g38148716/junior-achievement-of-southern-california-empowers-the-next-generation-through-new-financial-liter,META,0.042496,Somewhat-Bullish,0.164112
"With Resale App TipTop, Postmates Founder Bastian Lehmann Wants To Turn Your Junk Into Cash",20230921T150010,https://www.forbes.com/sites/alexkonrad/2023/09/21/with-resale-app-tiptop-postmates-founder-bastian-lehmann-wants-to-turn-your-junk-into-cash/,META,0.023464,Neutral,0.077814
Investing in luxury goods during inflation: How to do it and when not to,20230828T090300,https://www.marketwatch.com/story/investing-in-luxury-goods-during-inflation-how-to-do-it-and-when-not-to-6503ae37,META,0.041682,Neutral,0.134029
"Burry, famous for 'Big Short,' bought bearish options against S&P, Nasdaq 100",20230814T175400,https://www.reuters.com/markets/us/burry-famous-big-short-bought-bearish-options-against-sp-nasdaq-100-2023-08-14/,META,0.09402,Neutral,0.053233
How to make cash from spring cleaning,20230423T120747,https://www.foxbusiness.com/money/how-to-make-cash-spring-cleaning,META,0.105836,Somewhat-Bullish,0.197541
Poshmark Gets Bought Out; Chipotle Roars Ahead,20221008T135500,https://www.fool.com/investing/2022/10/08/1-stock-for-national-taco-day/,META,0.018973,Neutral,-0.030523
Poshmark Buyout Offer Was Well Below IPO Price: Analysts Call It Fair - Is It? - Poshmark  ( NASDAQ:POSH ) ,20221007T120915,https://www.benzinga.com/m-a/22/10/29173019/poshmark-buyout-well-below-ipo-price-analysts-call-it-fair-is-it,META,0.28008,Somewhat-Bullish,0.159009
You're faced with emptying a house full of stuff only you are attached to. Here are the best ways to do it.,20220817T095000,https://www.marketwatch.com/story/youre-faced-with-emptying-a-house-full-of-stuff-only-you-are-attached-to-here-are-the-best-ways-to-do-it-11660695590,META,0.043738,Neutral,0.029664
"1 Unstoppable Stock That Could Join Nvidia, Apple, and Microsoft in the $3 Trillion Club in 2025",20241219T091700,https://www.fool.com/investing/2024/12/19/1-stock-nvidia-apple-microsoft-the-3-trillion-2025/,META,0.036643,Neutral,0.109526
Vishay Intertechnology 150 V MOSFET Increases Efficiency With the Industry's Lowest RDS ( ON )  of 5.6 mΩ and RDS ( ON ) *Qg FOM of 336 mΩ*nC - Vishay Intertechnology  ( NYSE:VSH ) ,20241120T160000,https://www.benzinga.com/pressreleases/24/11/g42092820/vishay-intertechnology-150-v-mosfet-increases-efficiency-with-the-industrys-lowest-rds-on-of-5-6-m,META,0.086245,Neutral,0.0
Pure Storage Announces Strategic Investment and Technology Partnership with CoreWeave to Accelerate Large-Scale AI Cloud Services Innovation - Pure Storage  ( NYSE:PSTG ) ,20241113T170500,https://www.benzinga.com/pressreleases/24/11/n41947265/pure-storage-announces-strategic-investment-and-technology-partnership-with-coreweave-to-accelerat,META,0.039353,Somewhat-Bullish,0.281682
PNY Launches Ultra-Fast PRO Elite Prime Class 10 U3 V30 A2 microSD Flash Memory Card and Performance Prime USB 3.2 Gen 1 microSD Flash Memory Card Reader,20241107T133000,https://www.benzinga.com/pressreleases/24/11/n41806364/pny-launches-ultra-fast-pro-elite-prime-class-10-u3-v30-a2-microsd-flash-memory-card-and-performan,META,0.033656,Neutral,0.082251
Better Artificial Intelligence Stock: Nvidia vs. Broadcom,20241009T095000,https://www.fool.com/investing/2024/10/09/best-artificial-intelligence-stock-nvidia-broadcom/,META,0.049526,Neutral,0.124137
Is Micron a Buy After Massive Earnings Topper?,20241002T092500,https://www.fool.com/investing/2024/10/02/is-micron-a-buy-after-massive-earnings-topper/,META,0.075161,Neutral,-0.018245
Cathie Wood Says Software Is the Next Big AI Opportunity -- 1 Spectacular Stock You'll Regret Not Buying if She's Right,20240927T082600,https://www.fool.com/investing/2024/09/27/cathie-wood-software-next-ai-1-stock-buying-right/,META,0.035661,Neutral,0.0
2 Monster Semiconductor Stocks to Buy Now,20240901T090400,https://www.fool.com/investing/2024/09/01/2-monster-semiconductor-stocks-to-buy-now/,META,0.057907,Neutral,0.125985
"[Latest] Global Pharmaceutical CRM Software Market Size/Share Worth USD 6,643.1 Million by 2033 at a 4.8% CAGR: Custom Market Insights  ( Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth, Growth Rate, Value ) ",20240813T203000,https://www.benzinga.com/pressreleases/24/08/g40352114/latest-global-pharmaceutical-crm-software-market-sizeshare-worth-usd-6-643-1-million-by-2033-at-a-,META,0.011597,Neutral,0.0
Forget Nvidia: Billionaires Are Buying Up This Artificial Intelligence  ( AI )  Stock Instead,20240804T131500,https://www.fool.com/investing/2024/08/04/forget-nvidia-billionaires-are-buying-up-this-arti/,META,0.05833,Neutral,0.043974
Why I Sold These 7 Stocks: A Stock Portfolio Spring Cleaning,20240713T114100,https://www.fool.com/investing/2024/07/13/why-i-sold-7-stocks-this-week/,META,0.060236,Neutral,0.0
"As Nvidia, Amazon, Microsoft, And Google Dive Into Billions Of Data Center Investments, Vietnam Opens Market To Foreign Investors Allowing 100% Ownership - Alphabet  ( NASDAQ:GOOG ) , Amazon.com  ( NASDAQ:AMZN ) ",20240712T060417,https://www.benzinga.com/markets/equities/24/07/39743214/as-nvidia-amazon-microsoft-and-google-dive-into-billions-of-data-center-investments-vietnam-open,META,0.218161,Neutral,0.036532
Technology Stocks: Riding the wave of innovation in the US market,20240627T113700,https://www.financialexpress.com/business/investing-abroad-technology-stocks-riding-the-wave-of-innovation-in-the-us-market-3536686/,META,0.137148,Neutral,0.061824
An Analysis Of OpenAI's Acquisition Of Rockset And Its Strategic Significance,20240624T043858,https://www.forbes.com/sites/janakirammsv/2024/06/24/an-analysis-of-openais-acquisition-of-rockset-and-its-strategic-significance/,META,0.118064,Somewhat-Bullish,0.16579
