title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
AC Immune  ( NASDAQ:ACIU )  Now Covered by Analysts at StockNews.com,20220810T061646,https://www.defenseworld.net/2022/08/10/ac-immune-nasdaqaciu-now-covered-by-analysts-at-stocknews-com.html,ISRG,0.083251,Neutral,0.13349
Applied DNA Sciences  ( NASDAQ:APDN )  Earns Hold Rating from Analysts at StockNews.com,20240421T093125,https://www.defenseworld.net/2024/04/21/applied-dna-sciences-nasdaqapdn-earns-hold-rating-from-analysts-at-stocknews-com.html,ISRG,0.088472,Somewhat-Bullish,0.162624
Stocks That Hit 52-Week Lows On Tuesday,20220426T174457,https://www.benzinga.com/markets/options/22/04/26818122/52-weeks-high-and-low-article,ISRG,0.00928,Neutral,-0.002168
Stocks That Hit 52-Week Lows On Monday,20220425T160100,https://www.benzinga.com/markets/options/22/04/26791205/52-weeks-high-and-low-article,ISRG,0.008154,Neutral,0.007588
This Technology Stock Surged 235%; Here Are 77 Biggest Movers From Friday,20220725T083855,https://www.benzinga.com/news/22/07/28182325/this-technology-stock-surged-235-here-are-77-biggest-movers-from-friday,ISRG,0.057559,Neutral,-0.010058
Stocks That Hit 52-Week Lows On Wednesday,20220427T184104,https://www.benzinga.com/markets/options/22/04/26844275/52-weeks-high-and-low-article,ISRG,0.006956,Neutral,0.053483
Tuniu  ( NASDAQ:TOUR )  Downgraded by StockNews.com,20240420T052845,https://www.defenseworld.net/2024/04/20/tuniu-nasdaqtour-downgraded-by-stocknews-com.html,ISRG,0.082677,Somewhat-Bullish,0.155546
Yiren Digital  ( NYSE:YRD )  Coverage Initiated by Analysts at StockNews.com,20220810T090442,https://reporter.am/2022/08/10/yiren-digital-nyseyrd-coverage-initiated-by-analysts-at-stocknews-com-2.html,ISRG,0.101582,Neutral,0.149588
Stocks That Hit 52-Week Lows On Wednesday,20220504T162909,https://www.benzinga.com/markets/options/22/05/26995541/52-weeks-high-and-low-article,ISRG,0.012359,Bearish,-0.351539
"Why Knight-Swift Transportation Shares Are Trading Higher By Around 17%; Here Are 20 Stocks Moving Premarket - Aravive  ( NASDAQ:ARAV ) , American Well  ( NYSE:AMWL ) ",20231020T114219,https://www.benzinga.com/news/23/10/35347610/why-knight-swift-transportation-shares-are-trading-higher-by-around-17-here-are-20-stocks-moving-pre,ISRG,0.129866,Somewhat-Bearish,-0.185973
Stocks That Hit 52-Week Lows On Thursday,20220505T153818,https://www.benzinga.com/markets/options/22/05/27026106/52-weeks-high-and-low-article,ISRG,0.015457,Neutral,-0.00189
Stocks That Hit 52-Week Lows On Friday,20220610T154524,https://www.benzinga.com/markets/options/22/06/27650434/52-weeks-high-and-low-article,ISRG,0.013393,Bearish,-0.371661
MacroGenics  ( NASDAQ:MGNX )  Upgraded by StockNews.com to Hold,20220810T082042,https://www.defenseworld.net/2022/08/10/macrogenics-nasdaqmgnx-upgraded-by-stocknews-com-to-hold.html,ISRG,0.068502,Neutral,0.109134
These 2 Magnificent Growth Stocks Are Set to Soar This Summer and Beyond,20240804T144500,https://www.fool.com/investing/2024/08/04/these-2-magnificent-growth-stocks-are-set-to-soar/,ISRG,0.204072,Neutral,0.038591
Vera Bradley  ( NASDAQ:VRA )  Rating Lowered to Buy at StockNews.com,20240421T061443,https://www.defenseworld.net/2024/04/21/vera-bradley-nasdaqvra-rating-lowered-to-buy-at-stocknews-com.html,ISRG,0.066414,Neutral,0.059083
Why Selective Insurance Group Shares Are Trading Lower By Around 15%? Here Are Other Stocks Moving In Friday's Mid-Day Session - Selective Insurance Gr  ( NASDAQ:SIGI ) ,20240719T172454,https://www.benzinga.com/news/24/07/39864633/why-selective-insurance-group-shares-are-trading-lower-by-around-15-here-are-other-stocks-moving-in,ISRG,0.097062,Somewhat-Bullish,0.249244
"Intuitive Surgical, Inc.  ( ISRG )  Tops Q2 Earnings and Revenue Estimates",20230720T213508,https://www.zacks.com/stock/news/2124988/intuitive-surgical-inc-isrg-tops-q2-earnings-and-revenue-estimates,ISRG,0.399204,Somewhat-Bullish,0.276951
"2025 Investment Themes: AI, Energy, Defense Redefine US Markets - Cameco  ( NYSE:CCJ ) , ABB  ( OTC:ABBNY ) ",20241211T171526,https://www.benzinga.com/analyst-ratings/analyst-color/24/12/42443202/2025-investment-themes-ai-energy-defense-redefine-us-markets,ISRG,0.156461,Neutral,0.0
Strength Seen in Pacific Biosciences  ( PACB ) : Can Its 8.9% Jump Turn into More Strength?,20230914T113000,https://www.zacks.com/stock/news/2148734/strength-seen-in-pacific-biosciences-pacb-can-its-89-jump-turn-into-more-strength,ISRG,0.53784,Neutral,0.110138
"PacBio  ( PACB )  Tops on Q2 Earnings, Raises FY23 Revenue View",20230803T171600,https://www.zacks.com/stock/news/2132189/pacbio-pacb-tops-on-q2-earnings-raises-fy23-revenue-view,ISRG,0.175859,Neutral,-0.007221
Baxter  ( BAX )  to Post Q2 Earnings: What's in the Offing?,20230721T135700,https://www.zacks.com/stock/news/2125454/baxter-bax-to-post-q2-earnings-whats-in-the-offing,ISRG,0.039096,Neutral,0.0
Intuitive Surgical  ( ISRG )  to Post Q2 Earnings: What's in Store?,20230719T140200,https://www.zacks.com/stock/news/2123858/intuitive-surgical-isrg-to-post-q2-earnings-whats-in-store,ISRG,0.323078,Neutral,0.021006
"PacBio  ( PACB )  Tops on Q1 Earnings, Raises FY23 Revenue View",20230503T153500,https://www.zacks.com/stock/news/2089182/pacbio-pacb-tops-on-q1-earnings-raises-fy23-revenue-view,ISRG,0.161982,Neutral,0.038916
