title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
71 Biggest Movers From Yesterday,20220525T083352,https://www.benzinga.com/news/22/05/27388332/71-biggest-movers-from-yesterday,ANF,0.056869,Neutral,0.000137
50 Stocks Moving In Tuesday's Mid-Day Session,20220524T161041,https://www.benzinga.com/news/22/05/27376653/50-stocks-moving-in-tuesdays-mid-day-session,ANF,0.081844,Neutral,-0.109311
"Stocks Like Rising Yields, Wait What? - Advance Auto Parts  ( NYSE:AAP ) , Analog Devices  ( NASDAQ:ADI ) ",20230823T164016,https://www.benzinga.com/markets/cryptocurrency/23/08/34008695/stocks-like-rising-yields-wait-what,ANF,0.095138,Somewhat-Bullish,0.162003
77 Biggest Movers From Yesterday,20220601T090222,https://www.benzinga.com/news/22/06/27492435/77-biggest-movers-from-yesterday,ANF,0.057208,Neutral,0.001344
40 Stocks Moving In Tuesday's Mid-Day Session,20220531T160405,https://www.benzinga.com/news/22/05/27478950/40-stocks-moving-in-tuesdays-mid-day-session,ANF,0.115787,Neutral,-0.000191
"The RealReal Reports Narrower-Than-Expected Q3 Loss, Raises 2024 View",20241105T124000,https://www.zacks.com/stock/news/2364062/the-realreal-reports-narrower-than-expected-q3-loss-raises-2024-view,ANF,0.213517,Somewhat-Bullish,0.231758
How Gen-Z buyers are changing the bridal fashion business,20240621T133700,https://www.cnn.com/2024/06/21/style/gen-z-bridal-fashion-trends-bof/index.html,ANF,0.028798,Neutral,0.046709
Thrifting is more popular than ever. It's also never been worse.,20240325T095900,https://www.businessinsider.com/classic-thrift-stores-worse-secondhand-clothing-market-popular-2024-3,ANF,0.022837,Somewhat-Bullish,0.150591
Store closures are hitting Downtown San Francisco as office vacancies and fears of crime are on the rise. Here's the full list of retailers pulling out of the city's downtown neighborhood.,20230505T090000,https://www.businessinsider.com/san-franciscos-union-square-store-closures-since-2020-2023-5,ANF,0.033609,Neutral,0.03111
Poshmark Gets Bought Out; Chipotle Roars Ahead,20221008T135500,https://www.fool.com/investing/2022/10/08/1-stock-for-national-taco-day/,ANF,0.009487,Neutral,0.100151
Stocks That Hit 52-Week Lows On Monday,20220523T161249,https://www.benzinga.com/markets/options/22/05/27350703/52-weeks-high-and-low-article,ANF,0.037702,Neutral,0.002994
"The Zacks Analyst Blog Highlights Seagate, Abercrombie & Fitch, BrightView, The Gap and Micron",20240708T091300,https://www.zacks.com/stock/news/2297508/the-zacks-analyst-blog-highlights-seagate-abercrombie-fitch-brightview-the-gap-and-micron,ANF,0.256989,Somewhat-Bullish,0.18512
"Buy 5 Growth Stocks for a Strong July: STX, ANF, BV, GPS, MU",20240705T184500,https://www.zacks.com/stock/news/2297401/buy-5-growth-stocks-for-a-strong-july-stx-anf-bv-gps-mu,ANF,0.240014,Somewhat-Bullish,0.229889
"Stocks Fall As Salesforce, Dell Dive On Earnings: Weekly Review",20240531T154000,https://www.investors.com/news/stock-market-retreats-salesforce-dell-earnings-losers/,ANF,0.08687,Neutral,0.045042
"Fed Inflation Gauge, Key Earnings Highlight Investing Action Plan",20240524T120000,https://www.investors.com/research/investing-action-plan/fed-inflation-gauge-key-earnings/,ANF,0.12028,Neutral,0.079908
