title,time_published,url,ticker,relevance_score,ticker_sentiment_label,ticker_sentiment_score
Stocks That Hit 52-Week Lows On Wednesday,20220511T162815,https://www.benzinga.com/markets/options/22/05/27141482/52-weeks-high-and-low-article,CALA,0.006905,Neutral,0.00475
Stocks That Hit 52-Week Lows On Monday,20220418T154044,https://www.benzinga.com/news/22/04/26669813/stocks-that-hit-52-week-lows-on-monday,CALA,0.005428,Neutral,-0.001674
Stocks That Hit 52-Week Lows On Friday,20220401T170001,https://www.benzinga.com/news/22/04/26425809/stocks-that-hit-52-week-lows-on-friday,CALA,0.021113,Neutral,-3.3e-05
Stocks That Hit 52-Week Lows On Thursday,20220331T181044,https://www.benzinga.com/news/22/03/26401822/stocks-that-hit-52-week-lows-on-thursday,CALA,0.02511,Neutral,0.000341
12 Health Care Stocks Moving In Monday's Pre-Market Session,20220516T121648,https://www.benzinga.com/trading-ideas/movers/22/05/27217184/12-health-care-stocks-moving-in-mondays-pre-market-session,CALA,0.237551,Neutral,-0.000395
Stocks That Hit 52-Week Lows On Wednesday,20220427T184104,https://www.benzinga.com/markets/options/22/04/26844275/52-weeks-high-and-low-article,CALA,0.006956,Neutral,0.002329
51 Biggest Movers From Yesterday,20220331T094126,https://www.benzinga.com/news/22/03/26390922/51-biggest-movers-from-yesterday,CALA,0.071731,Neutral,0.00109
50 Biggest Movers From Yesterday,20220329T091148,https://www.benzinga.com/news/22/03/26340073/50-biggest-movers-from-yesterday,CALA,0.074437,Neutral,0.000659
99 Biggest Movers From Yesterday,20220512T082956,https://www.benzinga.com/news/22/05/27156577/99-biggest-movers-from-yesterday,CALA,0.042462,Neutral,-0.044697
110 Biggest Movers From Friday,20220516T092329,https://www.benzinga.com/news/22/05/27213491/110-biggest-movers-from-friday,CALA,0.039722,Somewhat-Bearish,-0.299309
110 Biggest Movers From Friday,20220516T092329,https://markets.businessinsider.com/news/stocks/110-biggest-movers-from-friday-1031463674,CALA,0.018223,Neutral,-0.1151
56 Stocks Moving In Friday's Mid-Day Session,20220513T161103,https://www.benzinga.com/news/22/05/27195036/56-stocks-moving-in-fridays-mid-day-session,CALA,0.077543,Somewhat-Bearish,-0.250566
23 Stocks Moving in Friday's Pre-Market Session,20220513T115246,https://www.benzinga.com/news/22/05/27186386/23-stocks-moving-in-fridays-pre-market-session,CALA,0.127829,Neutral,-0.145628
"Earnings Scheduled For May 10, 2022",20220510T091808,https://www.benzinga.com/news/earnings/22/05/27099859/earnings-scheduled-for-may-10-2022,CALA,0.015162,Neutral,-0.008037
